Industry,State_Territory,Year,Number_of_SARs
Casino,Alabama,1/1/2014,161
Casino,Alabama,1/1/2015,188
Casino,Alabama,1/1/2016,189
Casino,Alabama,1/1/2017,244
Casino,Alabama,1/1/2018,217
Casino,Alabama,1/1/2019,218
Casino,Alabama,1/1/2020,95
Casino,Alabama,1/1/2021,205
Casino,Alabama,1/1/2022,177
Casino,Alaska,1/1/2014,0
Casino,Alaska,1/1/2015,0
Casino,Alaska,1/1/2016,0
Casino,Alaska,1/1/2017,0
Casino,Alaska,1/1/2018,0
Casino,Alaska,1/1/2019,0
Casino,Alaska,1/1/2020,0
Casino,Alaska,1/1/2021,0
Casino,Alaska,1/1/2022,0
Casino,American Samoa,1/1/2014,0
Casino,American Samoa,1/1/2015,0
Casino,American Samoa,1/1/2016,0
Casino,American Samoa,1/1/2017,0
Casino,American Samoa,1/1/2018,0
Casino,American Samoa,1/1/2019,0
Casino,American Samoa,1/1/2020,0
Casino,American Samoa,1/1/2021,0
Casino,American Samoa,1/1/2022,0
Casino,Arizona,1/1/2014,245
Casino,Arizona,1/1/2015,268
Casino,Arizona,1/1/2016,314
Casino,Arizona,1/1/2017,425
Casino,Arizona,1/1/2018,734
Casino,Arizona,1/1/2019,2880
Casino,Arizona,1/1/2020,1416
Casino,Arizona,1/1/2021,454
Casino,Arizona,1/1/2022,459
Casino,Arkansas,1/1/2014,6
Casino,Arkansas,1/1/2015,5
Casino,Arkansas,1/1/2016,13
Casino,Arkansas,1/1/2017,13
Casino,Arkansas,1/1/2018,39
Casino,Arkansas,1/1/2019,106
Casino,Arkansas,1/1/2020,42
Casino,Arkansas,1/1/2021,48
Casino,Arkansas,1/1/2022,79
Casino,California,1/1/2014,3926
Casino,California,1/1/2015,5081
Casino,California,1/1/2016,5871
Casino,California,1/1/2017,5437
Casino,California,1/1/2018,5552
Casino,California,1/1/2019,6945
Casino,California,1/1/2020,5455
Casino,California,1/1/2021,7339
Casino,California,1/1/2022,6141
Casino,Colorado,1/1/2014,181
Casino,Colorado,1/1/2015,298
Casino,Colorado,1/1/2016,903
Casino,Colorado,1/1/2017,429
Casino,Colorado,1/1/2018,368
Casino,Colorado,1/1/2019,458
Casino,Colorado,1/1/2020,210
Casino,Colorado,1/1/2021,355
Casino,Colorado,1/1/2022,678
Casino,Connecticut,1/1/2014,436
Casino,Connecticut,1/1/2015,539
Casino,Connecticut,1/1/2016,611
Casino,Connecticut,1/1/2017,723
Casino,Connecticut,1/1/2018,759
Casino,Connecticut,1/1/2019,689
Casino,Connecticut,1/1/2020,393
Casino,Connecticut,1/1/2021,560
Casino,Connecticut,1/1/2022,572
Casino,Delaware,1/1/2014,54
Casino,Delaware,1/1/2015,25
Casino,Delaware,1/1/2016,27
Casino,Delaware,1/1/2017,38
Casino,Delaware,1/1/2018,36
Casino,Delaware,1/1/2019,73
Casino,Delaware,1/1/2020,39
Casino,Delaware,1/1/2021,37
Casino,Delaware,1/1/2022,50
Casino,District of Columbia,1/1/2014,0
Casino,District of Columbia,1/1/2015,0
Casino,District of Columbia,1/1/2016,0
Casino,District of Columbia,1/1/2017,0
Casino,District of Columbia,1/1/2018,2
Casino,District of Columbia,1/1/2019,2
Casino,District of Columbia,1/1/2020,3
Casino,District of Columbia,1/1/2021,23
Casino,District of Columbia,1/1/2022,29
Casino,Federated States of Micronesia,1/1/2014,0
Casino,Federated States of Micronesia,1/1/2015,0
Casino,Federated States of Micronesia,1/1/2016,0
Casino,Federated States of Micronesia,1/1/2017,0
Casino,Federated States of Micronesia,1/1/2018,0
Casino,Federated States of Micronesia,1/1/2019,0
Casino,Federated States of Micronesia,1/1/2020,0
Casino,Federated States of Micronesia,1/1/2021,0
Casino,Federated States of Micronesia,1/1/2022,0
Casino,Florida,1/1/2014,1664
Casino,Florida,1/1/2015,2110
Casino,Florida,1/1/2016,2717
Casino,Florida,1/1/2017,2067
Casino,Florida,1/1/2018,2059
Casino,Florida,1/1/2019,2136
Casino,Florida,1/1/2020,2229
Casino,Florida,1/1/2021,2990
Casino,Florida,1/1/2022,4465
Casino,Georgia,1/1/2014,0
Casino,Georgia,1/1/2015,0
Casino,Georgia,1/1/2016,0
Casino,Georgia,1/1/2017,0
Casino,Georgia,1/1/2018,15
Casino,Georgia,1/1/2019,267
Casino,Georgia,1/1/2020,77
Casino,Georgia,1/1/2021,2
Casino,Georgia,1/1/2022,1
Casino,Guam,1/1/2014,0
Casino,Guam,1/1/2015,0
Casino,Guam,1/1/2016,0
Casino,Guam,1/1/2017,0
Casino,Guam,1/1/2018,0
Casino,Guam,1/1/2019,0
Casino,Guam,1/1/2020,0
Casino,Guam,1/1/2021,0
Casino,Guam,1/1/2022,0
Casino,Hawaii,1/1/2014,0
Casino,Hawaii,1/1/2015,0
Casino,Hawaii,1/1/2016,0
Casino,Hawaii,1/1/2017,0
Casino,Hawaii,1/1/2018,0
Casino,Hawaii,1/1/2019,0
Casino,Hawaii,1/1/2020,0
Casino,Hawaii,1/1/2021,0
Casino,Hawaii,1/1/2022,0
Casino,Idaho,1/1/2014,4
Casino,Idaho,1/1/2015,7
Casino,Idaho,1/1/2016,5
Casino,Idaho,1/1/2017,8
Casino,Idaho,1/1/2018,2
Casino,Idaho,1/1/2019,37
Casino,Idaho,1/1/2020,89
Casino,Idaho,1/1/2021,198
Casino,Idaho,1/1/2022,192
Casino,Illinois,1/1/2014,681
Casino,Illinois,1/1/2015,510
Casino,Illinois,1/1/2016,599
Casino,Illinois,1/1/2017,681
Casino,Illinois,1/1/2018,797
Casino,Illinois,1/1/2019,1032
Casino,Illinois,1/1/2020,740
Casino,Illinois,1/1/2021,1024
Casino,Illinois,1/1/2022,1129
Casino,Indiana,1/1/2014,1884
Casino,Indiana,1/1/2015,2768
Casino,Indiana,1/1/2016,3137
Casino,Indiana,1/1/2017,2929
Casino,Indiana,1/1/2018,2889
Casino,Indiana,1/1/2019,2315
Casino,Indiana,1/1/2020,1356
Casino,Indiana,1/1/2021,1974
Casino,Indiana,1/1/2022,2238
Casino,Iowa,1/1/2014,456
Casino,Iowa,1/1/2015,703
Casino,Iowa,1/1/2016,672
Casino,Iowa,1/1/2017,530
Casino,Iowa,1/1/2018,555
Casino,Iowa,1/1/2019,478
Casino,Iowa,1/1/2020,394
Casino,Iowa,1/1/2021,571
Casino,Iowa,1/1/2022,488
Casino,Kansas,1/1/2014,160
Casino,Kansas,1/1/2015,181
Casino,Kansas,1/1/2016,213
Casino,Kansas,1/1/2017,260
Casino,Kansas,1/1/2018,238
Casino,Kansas,1/1/2019,259
Casino,Kansas,1/1/2020,172
Casino,Kansas,1/1/2021,286
Casino,Kansas,1/1/2022,217
Casino,Kentucky,1/1/2014,0
Casino,Kentucky,1/1/2015,1
Casino,Kentucky,1/1/2016,0
Casino,Kentucky,1/1/2017,0
Casino,Kentucky,1/1/2018,1
Casino,Kentucky,1/1/2019,22
Casino,Kentucky,1/1/2020,40
Casino,Kentucky,1/1/2021,66
Casino,Kentucky,1/1/2022,79
Casino,Louisiana,1/1/2014,2751
Casino,Louisiana,1/1/2015,4074
Casino,Louisiana,1/1/2016,5967
Casino,Louisiana,1/1/2017,8006
Casino,Louisiana,1/1/2018,6790
Casino,Louisiana,1/1/2019,4238
Casino,Louisiana,1/1/2020,2688
Casino,Louisiana,1/1/2021,3359
Casino,Louisiana,1/1/2022,3761
Casino,Maine,1/1/2014,20
Casino,Maine,1/1/2015,29
Casino,Maine,1/1/2016,26
Casino,Maine,1/1/2017,14
Casino,Maine,1/1/2018,21
Casino,Maine,1/1/2019,25
Casino,Maine,1/1/2020,15
Casino,Maine,1/1/2021,105
Casino,Maine,1/1/2022,161
Casino,Marshall Islands,1/1/2014,0
Casino,Marshall Islands,1/1/2015,0
Casino,Marshall Islands,1/1/2016,0
Casino,Marshall Islands,1/1/2017,0
Casino,Marshall Islands,1/1/2018,0
Casino,Marshall Islands,1/1/2019,0
Casino,Marshall Islands,1/1/2020,0
Casino,Marshall Islands,1/1/2021,0
Casino,Marshall Islands,1/1/2022,0
Casino,Maryland,1/1/2014,416
Casino,Maryland,1/1/2015,1185
Casino,Maryland,1/1/2016,1506
Casino,Maryland,1/1/2017,2204
Casino,Maryland,1/1/2018,2177
Casino,Maryland,1/1/2019,1964
Casino,Maryland,1/1/2020,1612
Casino,Maryland,1/1/2021,1617
Casino,Maryland,1/1/2022,2068
Casino,Massachusetts,1/1/2014,0
Casino,Massachusetts,1/1/2015,9
Casino,Massachusetts,1/1/2016,19
Casino,Massachusetts,1/1/2017,23
Casino,Massachusetts,1/1/2018,105
Casino,Massachusetts,1/1/2019,519
Casino,Massachusetts,1/1/2020,573
Casino,Massachusetts,1/1/2021,1124
Casino,Massachusetts,1/1/2022,1437
Casino,Michigan,1/1/2014,2413
Casino,Michigan,1/1/2015,1501
Casino,Michigan,1/1/2016,953
Casino,Michigan,1/1/2017,1010
Casino,Michigan,1/1/2018,1256
Casino,Michigan,1/1/2019,1348
Casino,Michigan,1/1/2020,1077
Casino,Michigan,1/1/2021,1762
Casino,Michigan,1/1/2022,2046
Casino,Minnesota,1/1/2014,444
Casino,Minnesota,1/1/2015,567
Casino,Minnesota,1/1/2016,643
Casino,Minnesota,1/1/2017,1035
Casino,Minnesota,1/1/2018,1126
Casino,Minnesota,1/1/2019,962
Casino,Minnesota,1/1/2020,865
Casino,Minnesota,1/1/2021,892
Casino,Minnesota,1/1/2022,697
Casino,Mississippi,1/1/2014,1201
Casino,Mississippi,1/1/2015,1507
Casino,Mississippi,1/1/2016,2176
Casino,Mississippi,1/1/2017,1652
Casino,Mississippi,1/1/2018,1676
Casino,Mississippi,1/1/2019,1466
Casino,Mississippi,1/1/2020,1205
Casino,Mississippi,1/1/2021,1517
Casino,Mississippi,1/1/2022,1579
Casino,Missouri,1/1/2014,1044
Casino,Missouri,1/1/2015,1655
Casino,Missouri,1/1/2016,2055
Casino,Missouri,1/1/2017,1801
Casino,Missouri,1/1/2018,1191
Casino,Missouri,1/1/2019,1321
Casino,Missouri,1/1/2020,1153
Casino,Missouri,1/1/2021,1433
Casino,Missouri,1/1/2022,1677
Casino,Montana,1/1/2014,0
Casino,Montana,1/1/2015,4
Casino,Montana,1/1/2016,1
Casino,Montana,1/1/2017,0
Casino,Montana,1/1/2018,4
Casino,Montana,1/1/2019,1
Casino,Montana,1/1/2020,1
Casino,Montana,1/1/2021,0
Casino,Montana,1/1/2022,1
Casino,Nebraska,1/1/2014,1
Casino,Nebraska,1/1/2015,0
Casino,Nebraska,1/1/2016,5
Casino,Nebraska,1/1/2017,0
Casino,Nebraska,1/1/2018,5
Casino,Nebraska,1/1/2019,86
Casino,Nebraska,1/1/2020,38
Casino,Nebraska,1/1/2021,2
Casino,Nebraska,1/1/2022,5
Casino,Nevada,1/1/2014,11924
Casino,Nevada,1/1/2015,11775
Casino,Nevada,1/1/2016,13736
Casino,Nevada,1/1/2017,13157
Casino,Nevada,1/1/2018,12263
Casino,Nevada,1/1/2019,10906
Casino,Nevada,1/1/2020,7652
Casino,Nevada,1/1/2021,10019
Casino,Nevada,1/1/2022,12434
Casino,New Hampshire,1/1/2014,0
Casino,New Hampshire,1/1/2015,0
Casino,New Hampshire,1/1/2016,0
Casino,New Hampshire,1/1/2017,1
Casino,New Hampshire,1/1/2018,0
Casino,New Hampshire,1/1/2019,1
Casino,New Hampshire,1/1/2020,9
Casino,New Hampshire,1/1/2021,11
Casino,New Hampshire,1/1/2022,16
Casino,New Jersey,1/1/2014,5570
Casino,New Jersey,1/1/2015,4843
Casino,New Jersey,1/1/2016,3474
Casino,New Jersey,1/1/2017,3624
Casino,New Jersey,1/1/2018,3970
Casino,New Jersey,1/1/2019,4705
Casino,New Jersey,1/1/2020,3664
Casino,New Jersey,1/1/2021,6378
Casino,New Jersey,1/1/2022,6357
Casino,New Mexico,1/1/2014,218
Casino,New Mexico,1/1/2015,358
Casino,New Mexico,1/1/2016,249
Casino,New Mexico,1/1/2017,327
Casino,New Mexico,1/1/2018,381
Casino,New Mexico,1/1/2019,509
Casino,New Mexico,1/1/2020,252
Casino,New Mexico,1/1/2021,157
Casino,New Mexico,1/1/2022,127
Casino,New York,1/1/2014,140
Casino,New York,1/1/2015,199
Casino,New York,1/1/2016,296
Casino,New York,1/1/2017,493
Casino,New York,1/1/2018,571
Casino,New York,1/1/2019,1820
Casino,New York,1/1/2020,775
Casino,New York,1/1/2021,1462
Casino,New York,1/1/2022,1617
Casino,North Carolina,1/1/2014,1056
Casino,North Carolina,1/1/2015,1274
Casino,North Carolina,1/1/2016,1245
Casino,North Carolina,1/1/2017,1563
Casino,North Carolina,1/1/2018,1144
Casino,North Carolina,1/1/2019,703
Casino,North Carolina,1/1/2020,443
Casino,North Carolina,1/1/2021,658
Casino,North Carolina,1/1/2022,731
Casino,North Dakota,1/1/2014,5
Casino,North Dakota,1/1/2015,11
Casino,North Dakota,1/1/2016,20
Casino,North Dakota,1/1/2017,51
Casino,North Dakota,1/1/2018,34
Casino,North Dakota,1/1/2019,75
Casino,North Dakota,1/1/2020,22
Casino,North Dakota,1/1/2021,67
Casino,North Dakota,1/1/2022,29
Casino,Northern Mariana Islands,1/1/2014,13
Casino,Northern Mariana Islands,1/1/2015,16
Casino,Northern Mariana Islands,1/1/2016,59
Casino,Northern Mariana Islands,1/1/2017,121
Casino,Northern Mariana Islands,1/1/2018,25
Casino,Northern Mariana Islands,1/1/2019,515
