Industry,State_Territory,Year,Number_of_SARs
Deposit Institution,Alabama,1/1/2014,8932
Deposit Institution,Alabama,1/1/2015,10961
Deposit Institution,Alabama,1/1/2016,13022
Deposit Institution,Alabama,1/1/2017,13979
Deposit Institution,Alabama,1/1/2018,15742
Deposit Institution,Alabama,1/1/2019,16695
Deposit Institution,Alabama,1/1/2020,20606
Deposit Institution,Alabama,1/1/2021,29274
Deposit Institution,Alabama,1/1/2022,31073
Deposit Institution,Alaska,1/1/2014,1892
Deposit Institution,Alaska,1/1/2015,2280
Deposit Institution,Alaska,1/1/2016,2683
Deposit Institution,Alaska,1/1/2017,2610
Deposit Institution,Alaska,1/1/2018,2577
Deposit Institution,Alaska,1/1/2019,2226
Deposit Institution,Alaska,1/1/2020,2377
Deposit Institution,Alaska,1/1/2021,2484
Deposit Institution,Alaska,1/1/2022,2978
Deposit Institution,American Samoa,1/1/2014,553
Deposit Institution,American Samoa,1/1/2015,110
Deposit Institution,American Samoa,1/1/2016,79
Deposit Institution,American Samoa,1/1/2017,71
Deposit Institution,American Samoa,1/1/2018,40
Deposit Institution,American Samoa,1/1/2019,90
Deposit Institution,American Samoa,1/1/2020,37
Deposit Institution,American Samoa,1/1/2021,19
Deposit Institution,American Samoa,1/1/2022,4
Deposit Institution,Arizona,1/1/2014,18023
Deposit Institution,Arizona,1/1/2015,16733
Deposit Institution,Arizona,1/1/2016,18829
Deposit Institution,Arizona,1/1/2017,18987
Deposit Institution,Arizona,1/1/2018,17692
Deposit Institution,Arizona,1/1/2019,16501
Deposit Institution,Arizona,1/1/2020,20467
Deposit Institution,Arizona,1/1/2021,23776
Deposit Institution,Arizona,1/1/2022,26196
Deposit Institution,Arkansas,1/1/2014,3329
Deposit Institution,Arkansas,1/1/2015,4381
Deposit Institution,Arkansas,1/1/2016,4771
Deposit Institution,Arkansas,1/1/2017,5800
Deposit Institution,Arkansas,1/1/2018,5347
Deposit Institution,Arkansas,1/1/2019,6890
Deposit Institution,Arkansas,1/1/2020,8420
Deposit Institution,Arkansas,1/1/2021,10113
Deposit Institution,Arkansas,1/1/2022,9792
Deposit Institution,California,1/1/2014,140011
Deposit Institution,California,1/1/2015,146477
Deposit Institution,California,1/1/2016,164915
Deposit Institution,California,1/1/2017,173927
Deposit Institution,California,1/1/2018,177172
Deposit Institution,California,1/1/2019,187458
Deposit Institution,California,1/1/2020,222553
Deposit Institution,California,1/1/2021,250793
Deposit Institution,California,1/1/2022,275518
Deposit Institution,Colorado,1/1/2014,10692
Deposit Institution,Colorado,1/1/2015,12633
Deposit Institution,Colorado,1/1/2016,14666
Deposit Institution,Colorado,1/1/2017,15964
Deposit Institution,Colorado,1/1/2018,16073
Deposit Institution,Colorado,1/1/2019,15106
Deposit Institution,Colorado,1/1/2020,16817
Deposit Institution,Colorado,1/1/2021,17640
Deposit Institution,Colorado,1/1/2022,17985
Deposit Institution,Connecticut,1/1/2014,9415
