Industry,State_Territory,Year,Number_of_SARs
Housing-GSE,Alabama,1/1/2014,0
Housing-GSE,Alaska,1/1/2014,0
Housing-GSE,American Samoa,1/1/2014,0
Housing-GSE,Arizona,1/1/2014,0
Housing-GSE,Arkansas,1/1/2014,0
Housing-GSE,California,1/1/2014,0
Housing-GSE,Colorado,1/1/2014,0
Housing-GSE,Connecticut,1/1/2014,0
Housing-GSE,Delaware,1/1/2014,0
Housing-GSE,District of Columbia,1/1/2014,61
Housing-GSE,Federated States of Micronesia,1/1/2014,0
Housing-GSE,Florida,1/1/2014,0
Housing-GSE,Georgia,1/1/2014,2
Housing-GSE,Guam,1/1/2014,0
Housing-GSE,Hawaii,1/1/2014,0
Housing-GSE,Idaho,1/1/2014,0
Housing-GSE,Illinois,1/1/2014,0
Housing-GSE,Indiana,1/1/2014,1
Housing-GSE,Iowa,1/1/2014,1
Housing-GSE,Kansas,1/1/2014,1
Housing-GSE,Kentucky,1/1/2014,0
Housing-GSE,Louisiana,1/1/2014,0
Housing-GSE,Maine,1/1/2014,0
Housing-GSE,Marshall Islands,1/1/2014,0
Housing-GSE,Maryland,1/1/2014,0
Housing-GSE,Massachusetts,1/1/2014,1
Housing-GSE,Michigan,1/1/2014,0
Housing-GSE,Minnesota,1/1/2014,0
Housing-GSE,Mississippi,1/1/2014,0
Housing-GSE,Missouri,1/1/2014,0
Housing-GSE,Montana,1/1/2014,0
Housing-GSE,Nebraska,1/1/2014,0
Housing-GSE,Nevada,1/1/2014,0
Housing-GSE,New Hampshire,1/1/2014,0
Housing-GSE,New Jersey,1/1/2014,1
Housing-GSE,New Mexico,1/1/2014,0
Housing-GSE,New York,1/1/2014,0
Housing-GSE,North Carolina,1/1/2014,0
Housing-GSE,North Dakota,1/1/2014,0
Housing-GSE,Northern Mariana Islands,1/1/2014,0
Housing-GSE,Ohio,1/1/2014,0
Housing-GSE,Oklahoma,1/1/2014,0
Housing-GSE,Oregon,1/1/2014,0
Housing-GSE,Palau,1/1/2014,0
Housing-GSE,Pennsylvania,1/1/2014,0
Housing-GSE,Puerto Rico,1/1/2014,0
Housing-GSE,Rhode Island,1/1/2014,0
Housing-GSE,South Carolina,1/1/2014,0
Housing-GSE,South Dakota,1/1/2014,0
Housing-GSE,Tennessee,1/1/2014,0
Housing-GSE,Texas,1/1/2014,0
Housing-GSE,U.S. Virgin Islands,1/1/2014,0
Housing-GSE,Unknown/Blank,1/1/2014,1
Housing-GSE,Utah,1/1/2014,0
Housing-GSE,Vermont,1/1/2014,0
Housing-GSE,Virginia,1/1/2014,0
Housing-GSE,Washington,1/1/2014,0
Housing-GSE,West Virginia,1/1/2014,0
Housing-GSE,Wisconsin,1/1/2014,0
Housing-GSE,Wyoming,1/1/2014,0
Housing-GSE,Alabama,1/1/2015,0
Housing-GSE,Alaska,1/1/2015,0
Housing-GSE,American Samoa,1/1/2015,0
Housing-GSE,Arizona,1/1/2015,0
Housing-GSE,Arkansas,1/1/2015,0
Housing-GSE,California,1/1/2015,6
Housing-GSE,Colorado,1/1/2015,0
Housing-GSE,Connecticut,1/1/2015,0
Housing-GSE,Delaware,1/1/2015,0
Housing-GSE,District of Columbia,1/1/2015,260
Housing-GSE,Federated States of Micronesia,1/1/2015,0
Housing-GSE,Florida,1/1/2015,1
Housing-GSE,Georgia,1/1/2015,3
Housing-GSE,Guam,1/1/2015,0
Housing-GSE,Hawaii,1/1/2015,0
Housing-GSE,Idaho,1/1/2015,0
Housing-GSE,Illinois,1/1/2015,0
Housing-GSE,Indiana,1/1/2015,6
Housing-GSE,Iowa,1/1/2015,0
Housing-GSE,Kansas,1/1/2015,3
Housing-GSE,Kentucky,1/1/2015,0
Housing-GSE,Louisiana,1/1/2015,1
Housing-GSE,Maine,1/1/2015,0
Housing-GSE,Marshall Islands,1/1/2015,0
Housing-GSE,Maryland,1/1/2015,1
Housing-GSE,Massachusetts,1/1/2015,1
Housing-GSE,Michigan,1/1/2015,0
