Industry,State_Territory,Year,Number_of_SARs
Insurance,Alabama,1/1/2014,0
Insurance,Alaska,1/1/2014,0
Insurance,American Samoa,1/1/2014,0
Insurance,Arizona,1/1/2014,2
Insurance,Arkansas,1/1/2014,2
Insurance,California,1/1/2014,149
Insurance,Colorado,1/1/2014,1
Insurance,Connecticut,1/1/2014,39
Insurance,Delaware,1/1/2014,0
Insurance,District of Columbia,1/1/2014,0
Insurance,Federated States of Micronesia,1/1/2014,0
Insurance,Florida,1/1/2014,11
Insurance,Georgia,1/1/2014,79
Insurance,Guam,1/1/2014,0
Insurance,Hawaii,1/1/2014,19
Insurance,Idaho,1/1/2014,0
Insurance,Illinois,1/1/2014,112
Insurance,Indiana,1/1/2014,46
Insurance,Iowa,1/1/2014,153
Insurance,Kansas,1/1/2014,0
Insurance,Kentucky,1/1/2014,3
Insurance,Louisiana,1/1/2014,1
Insurance,Maine,1/1/2014,0
Insurance,Marshall Islands,1/1/2014,0
Insurance,Maryland,1/1/2014,14
Insurance,Massachusetts,1/1/2014,258
Insurance,Michigan,1/1/2014,9
Insurance,Minnesota,1/1/2014,75
Insurance,Mississippi,1/1/2014,0
Insurance,Missouri,1/1/2014,4
Insurance,Montana,1/1/2014,0
Insurance,Nebraska,1/1/2014,20
Insurance,Nevada,1/1/2014,3
Insurance,New Hampshire,1/1/2014,0
Insurance,New Jersey,1/1/2014,56
Insurance,New Mexico,1/1/2014,1
Insurance,New York,1/1/2014,670
Insurance,North Carolina,1/1/2014,7
Insurance,North Dakota,1/1/2014,1
Insurance,Northern Mariana Islands,1/1/2014,0
Insurance,Ohio,1/1/2014,91
Insurance,Oklahoma,1/1/2014,1
Insurance,Oregon,1/1/2014,0
Insurance,Palau,1/1/2014,0
Insurance,Pennsylvania,1/1/2014,20
Insurance,Puerto Rico,1/1/2014,24
Insurance,Rhode Island,1/1/2014,18
Insurance,South Carolina,1/1/2014,3
Insurance,South Dakota,1/1/2014,0
Insurance,Tennessee,1/1/2014,2
Insurance,Texas,1/1/2014,966
Insurance,U.S. Virgin Islands,1/1/2014,0
Insurance,Unknown/Blank,1/1/2014,2
Insurance,Utah,1/1/2014,2
Insurance,Vermont,1/1/2014,0
Insurance,Virginia,1/1/2014,8
Insurance,Washington,1/1/2014,19
Insurance,West Virginia,1/1/2014,0
Insurance,Wisconsin,1/1/2014,111
Insurance,Wyoming,1/1/2014,0
Insurance,Alabama,1/1/2015,3
Insurance,Alaska,1/1/2015,1
Insurance,American Samoa,1/1/2015,0
Insurance,Arizona,1/1/2015,3
Insurance,Arkansas,1/1/2015,1
Insurance,California,1/1/2015,101
Insurance,Colorado,1/1/2015,1
Insurance,Connecticut,1/1/2015,48
Insurance,Delaware,1/1/2015,0
Insurance,District of Columbia,1/1/2015,3
Insurance,Federated States of Micronesia,1/1/2015,0
Insurance,Florida,1/1/2015,8
Insurance,Georgia,1/1/2015,153
Insurance,Guam,1/1/2015,0
Insurance,Hawaii,1/1/2015,4
Insurance,Idaho,1/1/2015,0
Insurance,Illinois,1/1/2015,51
Insurance,Indiana,1/1/2015,54
Insurance,Iowa,1/1/2015,158
Insurance,Kansas,1/1/2015,2
Insurance,Kentucky,1/1/2015,1
Insurance,Louisiana,1/1/2015,6
Insurance,Maine,1/1/2015,0
Insurance,Marshall Islands,1/1/2015,0
Insurance,Maryland,1/1/2015,11
Insurance,Massachusetts,1/1/2015,212
Insurance,Michigan,1/1/2015,14
Insurance,Minnesota,1/1/2015,78
Insurance,Mississippi,1/1/2015,3
Insurance,Missouri,1/1/2015,3
Insurance,Montana,1/1/2015,0
Insurance,Nebraska,1/1/2015,19
Insurance,Nevada,1/1/2015,7
Insurance,New Hampshire,1/1/2015,0
Insurance,New Jersey,1/1/2015,94
Insurance,New Mexico,1/1/2015,1
Insurance,New York,1/1/2015,829
Insurance,North Carolina,1/1/2015,4
Insurance,North Dakota,1/1/2015,1
Insurance,Northern Mariana Islands,1/1/2015,0
Insurance,Ohio,1/1/2015,230
Insurance,Oklahoma,1/1/2015,0
Insurance,Oregon,1/1/2015,0
Insurance,Palau,1/1/2015,0
Insurance,Pennsylvania,1/1/2015,30
Insurance,Puerto Rico,1/1/2015,15
Insurance,Rhode Island,1/1/2015,13
Insurance,South Carolina,1/1/2015,1
Insurance,South Dakota,1/1/2015,1
Insurance,Tennessee,1/1/2015,2
Insurance,Texas,1/1/2015,151
