Industry,State_Territory,Year,Number_of_SARs
Loan,Alabama,1/1/2014,0
Loan,Alaska,1/1/2014,0
Loan,American Samoa,1/1/2014,0
Loan,Arizona,1/1/2014,2
Loan,Arkansas,1/1/2014,0
Loan,California,1/1/2014,13
Loan,Colorado,1/1/2014,0
Loan,Connecticut,1/1/2014,1
Loan,Delaware,1/1/2014,1
Loan,District of Columbia,1/1/2014,0
Loan,Federated States of Micronesia,1/1/2014,0
Loan,Florida,1/1/2014,19
Loan,Georgia,1/1/2014,3
Loan,Guam,1/1/2014,0
Loan,Hawaii,1/1/2014,0
Loan,Idaho,1/1/2014,0
Loan,Illinois,1/1/2014,2
Loan,Indiana,1/1/2014,0
Loan,Iowa,1/1/2014,2
Loan,Kansas,1/1/2014,1
Loan,Kentucky,1/1/2014,0
Loan,Louisiana,1/1/2014,0
Loan,Maine,1/1/2014,0
Loan,Marshall Islands,1/1/2014,0
Loan,Maryland,1/1/2014,1
Loan,Massachusetts,1/1/2014,0
Loan,Michigan,1/1/2014,1
Loan,Minnesota,1/1/2014,0
Loan,Mississippi,1/1/2014,0
Loan,Missouri,1/1/2014,2
Loan,Montana,1/1/2014,0
Loan,Nebraska,1/1/2014,0
Loan,Nevada,1/1/2014,2
Loan,New Hampshire,1/1/2014,0
Loan,New Jersey,1/1/2014,4
Loan,New Mexico,1/1/2014,0
Loan,New York,1/1/2014,1
Loan,North Carolina,1/1/2014,2
Loan,North Dakota,1/1/2014,0
Loan,Northern Mariana Islands,1/1/2014,0
Loan,Ohio,1/1/2014,0
Loan,Oklahoma,1/1/2014,1
Loan,Oregon,1/1/2014,1
Loan,Palau,1/1/2014,0
Loan,Pennsylvania,1/1/2014,1
Loan,Puerto Rico,1/1/2014,0
Loan,Rhode Island,1/1/2014,2
Loan,South Carolina,1/1/2014,0
Loan,South Dakota,1/1/2014,0
Loan,Tennessee,1/1/2014,2
Loan,Texas,1/1/2014,18
Loan,U.S. Virgin Islands,1/1/2014,0
Loan,Unknown/Blank,1/1/2014,0
Loan,Utah,1/1/2014,3
Loan,Vermont,1/1/2014,0
Loan,Virginia,1/1/2014,2
Loan,Washington,1/1/2014,2
Loan,West Virginia,1/1/2014,0
Loan,Wisconsin,1/1/2014,0
Loan,Wyoming,1/1/2014,0
Loan,Alabama,1/1/2015,0
Loan,Alaska,1/1/2015,0
Loan,American Samoa,1/1/2015,0
Loan,Arizona,1/1/2015,23
Loan,Arkansas,1/1/2015,0
Loan,California,1/1/2015,284
Loan,Colorado,1/1/2015,21
Loan,Connecticut,1/1/2015,1
Loan,Delaware,1/1/2015,34
Loan,District of Columbia,1/1/2015,0
Loan,Federated States of Micronesia,1/1/2015,0
Loan,Florida,1/1/2015,366
Loan,Georgia,1/1/2015,21
Loan,Guam,1/1/2015,0
Loan,Hawaii,1/1/2015,2
Loan,Idaho,1/1/2015,1
Loan,Illinois,1/1/2015,16
Loan,Indiana,1/1/2015,5
Loan,Iowa,1/1/2015,24
Loan,Kansas,1/1/2015,0
Loan,Kentucky,1/1/2015,3
Loan,Louisiana,1/1/2015,2
Loan,Maine,1/1/2015,0
Loan,Marshall Islands,1/1/2015,0
Loan,Maryland,1/1/2015,2
Loan,Massachusetts,1/1/2015,7
Loan,Michigan,1/1/2015,167
Loan,Minnesota,1/1/2015,5
Loan,Mississippi,1/1/2015,1
Loan,Missouri,1/1/2015,16
Loan,Montana,1/1/2015,0
Loan,Nebraska,1/1/2015,0
Loan,Nevada,1/1/2015,0
Loan,New Hampshire,1/1/2015,2
Loan,New Jersey,1/1/2015,21
Loan,New Mexico,1/1/2015,1
Loan,New York,1/1/2015,18
Loan,North Carolina,1/1/2015,8
Loan,North Dakota,1/1/2015,0
Loan,Northern Mariana Islands,1/1/2015,0
Loan,Ohio,1/1/2015,6
Loan,Oklahoma,1/1/2015,1
Loan,Oregon,1/1/2015,1
Loan,Palau,1/1/2015,0
Loan,Pennsylvania,1/1/2015,5
Loan,Puerto Rico,1/1/2015,1
Loan,Rhode Island,1/1/2015,0
Loan,South Carolina,1/1/2015,4
Loan,South Dakota,1/1/2015,0
Loan,Tennessee,1/1/2015,2
Loan,Texas,1/1/2015,393
Loan,U.S. Virgin Islands,1/1/2015,0
Loan,Unknown/Blank,1/1/2015,13
Loan,Utah,1/1/2015,7
Loan,Vermont,1/1/2015,0
Loan,Virginia,1/1/2015,14
Loan,Washington,1/1/2015,1
Loan,West Virginia,1/1/2015,0
Loan,Wisconsin,1/1/2015,1
Loan,Wyoming,1/1/2015,3
Loan,Alabama,1/1/2016,0
Loan,Alaska,1/1/2016,2
Loan,American Samoa,1/1/2016,0
Loan,Arizona,1/1/2016,21
Loan,Arkansas,1/1/2016,1
Loan,California,1/1/2016,333
Loan,Colorado,1/1/2016,22
Loan,Connecticut,1/1/2016,16
Loan,Delaware,1/1/2016,7
Loan,District of Columbia,1/1/2016,0
Loan,Federated States of Micronesia,1/1/2016,0
Loan,Florida,1/1/2016,279
Loan,Georgia,1/1/2016,26
Loan,Guam,1/1/2016,0
Loan,Hawaii,1/1/2016,1
Loan,Idaho,1/1/2016,0
Loan,Illinois,1/1/2016,9
Loan,Indiana,1/1/2016,6
Loan,Iowa,1/1/2016,22
Loan,Kansas,1/1/2016,1
Loan,Kentucky,1/1/2016,2
Loan,Louisiana,1/1/2016,5
Loan,Maine,1/1/2016,2
Loan,Marshall Islands,1/1/2016,0
Loan,Maryland,1/1/2016,7
Loan,Massachusetts,1/1/2016,13
Loan,Michigan,1/1/2016,1496
Loan,Minnesota,1/1/2016,3
Loan,Mississippi,1/1/2016,4
Loan,Missouri,1/1/2016,17
