Industry,State_Territory,Year,Number_of_SARs
Money Services,Alabama,1/1/2014,9411
Money Services,Alaska,1/1/2014,2071
Money Services,American Samoa,1/1/2014,235
Money Services,Arizona,1/1/2014,20455
Money Services,Arkansas,1/1/2014,5515
Money Services,California,1/1/2014,187924
Money Services,Colorado,1/1/2014,45792
Money Services,Connecticut,1/1/2014,8655
Money Services,Delaware,1/1/2014,2837
Money Services,District of Columbia,1/1/2014,3545
Money Services,Federated States of Micronesia,1/1/2014,16
Money Services,Florida,1/1/2014,68496
Money Services,Georgia,1/1/2014,29391
Money Services,Guam,1/1/2014,706
Money Services,Hawaii,1/1/2014,5693
Money Services,Idaho,1/1/2014,2384
Money Services,Illinois,1/1/2014,19705
Money Services,Indiana,1/1/2014,9677
Money Services,Iowa,1/1/2014,3878
Money Services,Kansas,1/1/2014,4611
Money Services,Kentucky,1/1/2014,7062
Money Services,Louisiana,1/1/2014,12239
Money Services,Maine,1/1/2014,3692
Money Services,Marshall Islands,1/1/2014,17
Money Services,Maryland,1/1/2014,19787
Money Services,Massachusetts,1/1/2014,19172
Money Services,Michigan,1/1/2014,13331
Money Services,Minnesota,1/1/2014,10414
Money Services,Mississippi,1/1/2014,7223
Money Services,Missouri,1/1/2014,8485
Money Services,Montana,1/1/2014,1307
Money Services,Nebraska,1/1/2014,3237
Money Services,Nevada,1/1/2014,9494
Money Services,New Hampshire,1/1/2014,4170
Money Services,New Jersey,1/1/2014,26587
Money Services,New Mexico,1/1/2014,4380
Money Services,New York,1/1/2014,95359
Money Services,North Carolina,1/1/2014,23496
Money Services,North Dakota,1/1/2014,1853
Money Services,Northern Mariana Islands,1/1/2014,362
Money Services,Ohio,1/1/2014,20392
Money Services,Oklahoma,1/1/2014,8513
Money Services,Oregon,1/1/2014,5656
Money Services,Palau,1/1/2014,3
Money Services,Pennsylvania,1/1/2014,22353
Money Services,Puerto Rico,1/1/2014,9260
Money Services,Rhode Island,1/1/2014,3002
Money Services,South Carolina,1/1/2014,9594
Money Services,South Dakota,1/1/2014,2402
Money Services,Tennessee,1/1/2014,13796
Money Services,Texas,1/1/2014,83966
Money Services,U.S. Virgin Islands,1/1/2014,1838
Money Services,Unknown/Blank,1/1/2014,2485
Money Services,Utah,1/1/2014,4343
Money Services,Vermont,1/1/2014,2347
Money Services,Virginia,1/1/2014,21204
Money Services,Washington,1/1/2014,10751
Money Services,West Virginia,1/1/2014,3026
Money Services,Wisconsin,1/1/2014,5591
Money Services,Wyoming,1/1/2014,1372
Money Services,Alabama,1/1/2015,13306
Money Services,Alaska,1/1/2015,2599
Money Services,American Samoa,1/1/2015,227
Money Services,Arizona,1/1/2015,19693
Money Services,Arkansas,1/1/2015,7388
Money Services,California,1/1/2015,197453
Money Services,Colorado,1/1/2015,43946
Money Services,Connecticut,1/1/2015,10633
Money Services,Delaware,1/1/2015,4076
Money Services,District of Columbia,1/1/2015,4034
Money Services,Federated States of Micronesia,1/1/2015,7
Money Services,Florida,1/1/2015,77821
Money Services,Georgia,1/1/2015,33845
Money Services,Guam,1/1/2015,553
Money Services,Hawaii,1/1/2015,7212
Money Services,Idaho,1/1/2015,3331
Money Services,Illinois,1/1/2015,24425
Money Services,Indiana,1/1/2015,12965
Money Services,Iowa,1/1/2015,5554
Money Services,Kansas,1/1/2015,6077
Money Services,Kentucky,1/1/2015,9477
Money Services,Louisiana,1/1/2015,15416
Money Services,Maine,1/1/2015,6196
Money Services,Marshall Islands,1/1/2015,17
Money Services,Maryland,1/1/2015,23726
Money Services,Massachusetts,1/1/2015,24603
Money Services,Michigan,1/1/2015,17476
Money Services,Minnesota,1/1/2015,14237
Money Services,Mississippi,1/1/2015,9512
Money Services,Missouri,1/1/2015,11822
Money Services,Montana,1/1/2015,2190
Money Services,Nebraska,1/1/2015,4167
Money Services,Nevada,1/1/2015,10637
Money Services,New Hampshire,1/1/2015,6231
Money Services,New Jersey,1/1/2015,32056
Money Services,New Mexico,1/1/2015,5250
Money Services,New York,1/1/2015,111456
Money Services,North Carolina,1/1/2015,34656
Money Services,North Dakota,1/1/2015,2499
Money Services,Northern Mariana Islands,1/1/2015,569
Money Services,Ohio,1/1/2015,22621
Money Services,Oklahoma,1/1/2015,10259
Money Services,Oregon,1/1/2015,7580
Money Services,Palau,1/1/2015,4
Money Services,Pennsylvania,1/1/2015,29034
Money Services,Puerto Rico,1/1/2015,13202
Money Services,Rhode Island,1/1/2015,3907
Money Services,South Carolina,1/1/2015,14052
Money Services,South Dakota,1/1/2015,2104
Money Services,Tennessee,1/1/2015,16652
Money Services,Texas,1/1/2015,88697
Money Services,U.S. Virgin Islands,1/1/2015,2593
Money Services,Unknown/Blank,1/1/2015,3246
Money Services,Utah,1/1/2015,5411
Money Services,Vermont,1/1/2015,3089
Money Services,Virginia,1/1/2015,27128
Money Services,Washington,1/1/2015,14406
Money Services,West Virginia,1/1/2015,4303
Money Services,Wisconsin,1/1/2015,8327
Money Services,Wyoming,1/1/2015,1676
Money Services,Alabama,1/1/2016,14618
Money Services,Alaska,1/1/2016,2511
Money Services,American Samoa,1/1/2016,162
Money Services,Arizona,1/1/2016,17063
Money Services,Arkansas,1/1/2016,9545
Money Services,California,1/1/2016,197976
Money Services,Colorado,1/1/2016,44077
Money Services,Connecticut,1/1/2016,11093
Money Services,Delaware,1/1/2016,7246
Money Services,District of Columbia,1/1/2016,9363
Money Services,Federated States of Micronesia,1/1/2016,19
Money Services,Florida,1/1/2016,82561
Money Services,Georgia,1/1/2016,38652
Money Services,Guam,1/1/2016,357
Money Services,Hawaii,1/1/2016,7233
Money Services,Idaho,1/1/2016,3785
Money Services,Illinois,1/1/2016,28306
Money Services,Indiana,1/1/2016,16225
Money Services,Iowa,1/1/2016,7203
Money Services,Kansas,1/1/2016,7435
Money Services,Kentucky,1/1/2016,11210
Money Services,Louisiana,1/1/2016,16991
Money Services,Maine,1/1/2016,7722
Money Services,Marshall Islands,1/1/2016,16
Money Services,Maryland,1/1/2016,30986
Money Services,Massachusetts,1/1/2016,27686
Money Services,Michigan,1/1/2016,19377
Money Services,Minnesota,1/1/2016,19178
Money Services,Mississippi,1/1/2016,11144
Money Services,Missouri,1/1/2016,14498
Money Services,Montana,1/1/2016,2451
Money Services,Nebraska,1/1/2016,5226
Money Services,Nevada,1/1/2016,12301
Money Services,New Hampshire,1/1/2016,6882
Money Services,New Jersey,1/1/2016,32927
Money Services,New Mexico,1/1/2016,5953
Money Services,New York,1/1/2016,109113
Money Services,North Carolina,1/1/2016,65309
Money Services,North Dakota,1/1/2016,2944
Money Services,Northern Mariana Islands,1/1/2016,137
Money Services,Ohio,1/1/2016,26191
Money Services,Oklahoma,1/1/2016,12796
Money Services,Oregon,1/1/2016,9397
Money Services,Palau,1/1/2016,2
Money Services,Pennsylvania,1/1/2016,32123
Money Services,Puerto Rico,1/1/2016,12066
Money Services,Rhode Island,1/1/2016,4219
Money Services,South Carolina,1/1/2016,25453
Money Services,South Dakota,1/1/2016,2227
Money Services,Tennessee,1/1/2016,20439
Money Services,Texas,1/1/2016,98742
Money Services,U.S. Virgin Islands,1/1/2016,2495
Money Services,Unknown/Blank,1/1/2016,5161
Money Services,Utah,1/1/2016,6484
Money Services,Vermont,1/1/2016,3454
Money Services,Virginia,1/1/2016,49877
Money Services,Washington,1/1/2016,15967
Money Services,West Virginia,1/1/2016,6152
Money Services,Wisconsin,1/1/2016,10448
Money Services,Wyoming,1/1/2016,2113
Money Services,Alabama,1/1/2017,15463
Money Services,Alaska,1/1/2017,2532
Money Services,American Samoa,1/1/2017,108
Money Services,Arizona,1/1/2017,18601
Money Services,Arkansas,1/1/2017,11319
Money Services,California,1/1/2017,205979
Money Services,Colorado,1/1/2017,52545
Money Services,Connecticut,1/1/2017,11541
Money Services,Delaware,1/1/2017,4539
Money Services,District of Columbia,1/1/2017,6162
Money Services,Federated States of Micronesia,1/1/2017,30
Money Services,Florida,1/1/2017,86616
Money Services,Georgia,1/1/2017,40311
Money Services,Guam,1/1/2017,442
Money Services,Hawaii,1/1/2017,7244
Money Services,Idaho,1/1/2017,3558
Money Services,Illinois,1/1/2017,28383
Money Services,Indiana,1/1/2017,17414
Money Services,Iowa,1/1/2017,7011
Money Services,Kansas,1/1/2017,7731
Money Services,Kentucky,1/1/2017,11789
Money Services,Louisiana,1/1/2017,17250
Money Services,Maine,1/1/2017,4123
Money Services,Marshall Islands,1/1/2017,55
Money Services,Maryland,1/1/2017,25007
Money Services,Massachusetts,1/1/2017,24290
Money Services,Michigan,1/1/2017,20360
Money Services,Minnesota,1/1/2017,22681
Money Services,Mississippi,1/1/2017,11407
Money Services,Missouri,1/1/2017,15149
Money Services,Montana,1/1/2017,2506
Money Services,Nebraska,1/1/2017,5234
Money Services,Nevada,1/1/2017,13041
Money Services,New Hampshire,1/1/2017,4289
Money Services,New Jersey,1/1/2017,36147
Money Services,New Mexico,1/1/2017,6160
Money Services,New York,1/1/2017,111000
Money Services,North Carolina,1/1/2017,39282
Money Services,North Dakota,1/1/2017,2836
Money Services,Northern Mariana Islands,1/1/2017,117
Money Services,Ohio,1/1/2017,29297
Money Services,Oklahoma,1/1/2017,13744
Money Services,Oregon,1/1/2017,10495
Money Services,Palau,1/1/2017,3
Money Services,Pennsylvania,1/1/2017,33588
Money Services,Puerto Rico,1/1/2017,14914
Money Services,Rhode Island,1/1/2017,3966
Money Services,South Carolina,1/1/2017,18450
Money Services,South Dakota,1/1/2017,2212
Money Services,Tennessee,1/1/2017,20521
Money Services,Texas,1/1/2017,100109
Money Services,U.S. Virgin Islands,1/1/2017,1967
Money Services,Unknown/Blank,1/1/2017,6527
Money Services,Utah,1/1/2017,6747
Money Services,Vermont,1/1/2017,2051
Money Services,Virginia,1/1/2017,33630
Money Services,Washington,1/1/2017,18048
Money Services,West Virginia,1/1/2017,5046
Money Services,Wisconsin,1/1/2017,10333
Money Services,Wyoming,1/1/2017,2050
Money Services,Alabama,1/1/2018,17011
Money Services,Alaska,1/1/2018,2897
Money Services,American Samoa,1/1/2018,117
Money Services,Arizona,1/1/2018,27019
Money Services,Arkansas,1/1/2018,14206
Money Services,California,1/1/2018,217045
Money Services,Colorado,1/1/2018,57859
Money Services,Connecticut,1/1/2018,14955
Money Services,Delaware,1/1/2018,4373
