Industry,State_Territory,Year,Number_of_SARs
Other,Alabama,1/1/2014,20
Other,Alaska,1/1/2014,4
Other,American Samoa,1/1/2014,0
Other,Arizona,1/1/2014,77
Other,Arkansas,1/1/2014,51
Other,California,1/1/2014,875
Other,Colorado,1/1/2014,171
Other,Connecticut,1/1/2014,82
Other,Delaware,1/1/2014,3688
Other,District of Columbia,1/1/2014,362
Other,Federated States of Micronesia,1/1/2014,0
Other,Florida,1/1/2014,1291
Other,Georgia,1/1/2014,321
Other,Guam,1/1/2014,1
Other,Hawaii,1/1/2014,7
Other,Idaho,1/1/2014,10
Other,Illinois,1/1/2014,348
Other,Indiana,1/1/2014,103
Other,Iowa,1/1/2014,25
Other,Kansas,1/1/2014,306
Other,Kentucky,1/1/2014,33
Other,Louisiana,1/1/2014,20
Other,Maine,1/1/2014,15
Other,Marshall Islands,1/1/2014,0
Other,Maryland,1/1/2014,229
Other,Massachusetts,1/1/2014,1465
Other,Michigan,1/1/2014,2146
Other,Minnesota,1/1/2014,209
Other,Mississippi,1/1/2014,10
Other,Missouri,1/1/2014,136
Other,Montana,1/1/2014,4
Other,Nebraska,1/1/2014,25
Other,Nevada,1/1/2014,61
Other,New Hampshire,1/1/2014,540
Other,New Jersey,1/1/2014,347
Other,New Mexico,1/1/2014,3
Other,New York,1/1/2014,3430
Other,North Carolina,1/1/2014,442
Other,North Dakota,1/1/2014,14
Other,Northern Mariana Islands,1/1/2014,0
Other,Ohio,1/1/2014,322
Other,Oklahoma,1/1/2014,207
Other,Oregon,1/1/2014,29
Other,Palau,1/1/2014,0
Other,Pennsylvania,1/1/2014,330
Other,Puerto Rico,1/1/2014,443
Other,Rhode Island,1/1/2014,23
Other,South Carolina,1/1/2014,59
Other,South Dakota,1/1/2014,0
Other,Tennessee,1/1/2014,1631
Other,Texas,1/1/2014,902
Other,U.S. Virgin Islands,1/1/2014,0
Other,Unknown/Blank,1/1/2014,643
Other,Utah,1/1/2014,9383
Other,Vermont,1/1/2014,2
