State,Year,Industry,Count
Alabama,2014,Casino/Card Club - Tribal Authorized Casino,165
Alabama,2014,Depository Institution,8938
Alabama,2014,Money Services Business (MSB),9423
Alabama,2014,Other,20
Alabama,2014,Securities/Futures,69
Alabama,2014,[Total],18615
Alaska,2014,Depository Institution,1891
Alaska,2014,Money Services Business (MSB),2077
Alaska,2014,Other,4
Alaska,2014,Securities/Futures,4
Alaska,2014,[Total],3976
American Samoa,2014,Depository Institution,552
American Samoa,2014,Money Services Business (MSB),231
American Samoa,2014,[Total],783
Arizona,2014,Casino/Card Club - State Licensed Casino,6
Arizona,2014,Casino/Card Club - Tribal Authorized Casino,247
Arizona,2014,Depository Institution,18032
Arizona,2014,Insurance Company,2
Arizona,2014,Loan or Finance Company,2
Arizona,2014,Money Services Business (MSB),20648
Arizona,2014,Other,77
Arizona,2014,Securities/Futures,372
Arizona,2014,[Total],39386
Arkansas,2014,Casino/Card Club - Other Casino/Card Club,6
Arkansas,2014,Depository Institution,3329
Arkansas,2014,Insurance Company,2
Arkansas,2014,Money Services Business (MSB),5583
Arkansas,2014,Other,51
Arkansas,2014,Securities/Futures,25
Arkansas,2014,[Total],8996
California,2014,Casino/Card Club,1
California,2014,Casino/Card Club - Card Club,1744
California,2014,Casino/Card Club - State Licensed Casino,188
California,2014,Casino/Card Club - Tribal Authorized Casino,2016
California,2014,Depository Institution,140032
California,2014,Insurance Company,149
California,2014,Loan or Finance Company,13
California,2014,Money Services Business (MSB),188222
California,2014,Other,876
California,2014,Securities/Futures,2967
California,2014,[Total],336208
Colorado,2014,Casino/Card Club - Card Club,1
Colorado,2014,Casino/Card Club - State Licensed Casino,178
Colorado,2014,Casino/Card Club - Tribal Authorized Casino,2
Colorado,2014,Depository Institution,10703
Colorado,2014,Insurance Company,1
Colorado,2014,Money Services Business (MSB),45808
Colorado,2014,Other,173
Colorado,2014,Securities/Futures,542
Colorado,2014,[Total],57408
Connecticut,2014,Casino/Card Club - Tribal Authorized Casino,436
Connecticut,2014,Depository Institution,9419
Connecticut,2014,Insurance Company,39
Connecticut,2014,Loan or Finance Company,1
Connecticut,2014,Money Services Business (MSB),8676
Connecticut,2014,Other,84
Connecticut,2014,Securities/Futures,614
Connecticut,2014,[Total],19269
Delaware,2014,Casino/Card Club - Other Casino/Card Club,8
Delaware,2014,Casino/Card Club - State Licensed Casino,50
Delaware,2014,Casino/Card Club - Tribal Authorized Casino,3
Delaware,2014,Depository Institution,50628
Delaware,2014,Loan or Finance Company,1
Delaware,2014,Money Services Business (MSB),2833
Delaware,2014,Other,3688
Delaware,2014,Securities/Futures,141
Delaware,2014,[Total],57352
District of Columbia,2014,Depository Institution,2828
District of Columbia,2014,Housing Government Sponsored Enterprise GSE,61
District of Columbia,2014,Money Services Business (MSB),3576
District of Columbia,2014,Other,362
District of Columbia,2014,Securities/Futures,76
District of Columbia,2014,[Total],6903
Florida,2014,Casino/Card Club - Card Club,14
Florida,2014,Casino/Card Club - Other Casino/Card Club,2
Florida,2014,Casino/Card Club - State Licensed Casino,56
Florida,2014,Casino/Card Club - Tribal Authorized Casino,1598
Florida,2014,Depository Institution,60782
