Industry,State_Territory,Year,Number_of_SARs
Securities,Alabama,1/1/2014,69
Securities,Alaska,1/1/2014,4
Securities,American Samoa,1/1/2014,0
Securities,Arizona,1/1/2014,371
Securities,Arkansas,1/1/2014,22
Securities,California,1/1/2014,2955
Securities,Colorado,1/1/2014,540
Securities,Connecticut,1/1/2014,613
Securities,Delaware,1/1/2014,142
Securities,District of Columbia,1/1/2014,74
Securities,Federated States of Micronesia,1/1/2014,0
Securities,Florida,1/1/2014,1303
Securities,Georgia,1/1/2014,185
Securities,Guam,1/1/2014,0
Securities,Hawaii,1/1/2014,14
Securities,Idaho,1/1/2014,18
Securities,Illinois,1/1/2014,480
Securities,Indiana,1/1/2014,117
Securities,Iowa,1/1/2014,82
Securities,Kansas,1/1/2014,29
Securities,Kentucky,1/1/2014,108
Securities,Louisiana,1/1/2014,45
Securities,Maine,1/1/2014,11
Securities,Marshall Islands,1/1/2014,0
Securities,Maryland,1/1/2014,176
Securities,Massachusetts,1/1/2014,2862
Securities,Michigan,1/1/2014,116
Securities,Minnesota,1/1/2014,507
Securities,Mississippi,1/1/2014,17
Securities,Missouri,1/1/2014,1272
Securities,Montana,1/1/2014,15
Securities,Nebraska,1/1/2014,885
Securities,Nevada,1/1/2014,59
Securities,New Hampshire,1/1/2014,32
Securities,New Jersey,1/1/2014,1279
Securities,New Mexico,1/1/2014,25
Securities,New York,1/1/2014,2763
Securities,North Carolina,1/1/2014,177
Securities,North Dakota,1/1/2014,2
Securities,Northern Mariana Islands,1/1/2014,0
Securities,Ohio,1/1/2014,162
Securities,Oklahoma,1/1/2014,43
Securities,Oregon,1/1/2014,63
Securities,Palau,1/1/2014,0
Securities,Pennsylvania,1/1/2014,669
Securities,Puerto Rico,1/1/2014,54
Securities,Rhode Island,1/1/2014,2390
Securities,South Carolina,1/1/2014,43
Securities,South Dakota,1/1/2014,4
Securities,Tennessee,1/1/2014,68
Securities,Texas,1/1/2014,836
Securities,U.S. Virgin Islands,1/1/2014,0
Securities,Unknown/Blank,1/1/2014,46
Securities,Utah,1/1/2014,5151
Securities,Vermont,1/1/2014,13
Securities,Virginia,1/1/2014,767
Securities,Washington,1/1/2014,468
Securities,West Virginia,1/1/2014,14
Securities,Wisconsin,1/1/2014,166
Securities,Wyoming,1/1/2014,4
Securities,Alabama,1/1/2015,94
Securities,Alaska,1/1/2015,7
Securities,American Samoa,1/1/2015,0
Securities,Arizona,1/1/2015,401
Securities,Arkansas,1/1/2015,30
Securities,California,1/1/2015,3940
Securities,Colorado,1/1/2015,229
Securities,Connecticut,1/1/2015,300
Securities,Delaware,1/1/2015,141
Securities,District of Columbia,1/1/2015,63
Securities,Federated States of Micronesia,1/1/2015,0
Securities,Florida,1/1/2015,1318
Securities,Georgia,1/1/2015,200
Securities,Guam,1/1/2015,0
Securities,Hawaii,1/1/2015,17
Securities,Idaho,1/1/2015,18
Securities,Illinois,1/1/2015,591
Securities,Indiana,1/1/2015,131
Securities,Iowa,1/1/2015,97
Securities,Kansas,1/1/2015,45
Securities,Kentucky,1/1/2015,95
Securities,Louisiana,1/1/2015,51
Securities,Maine,1/1/2015,16
Securities,Marshall Islands,1/1/2015,0
Securities,Maryland,1/1/2015,133
Securities,Massachusetts,1/1/2015,3022
Securities,Michigan,1/1/2015,127
Securities,Minnesota,1/1/2015,481
Securities,Mississippi,1/1/2015,47
Securities,Missouri,1/1/2015,1616
Securities,Montana,1/1/2015,12
Securities,Nebraska,1/1/2015,1007
Securities,Nevada,1/1/2015,74
Securities,New Hampshire,1/1/2015,27
Securities,New Jersey,1/1/2015,1311
Securities,New Mexico,1/1/2015,20
Securities,New York,1/1/2015,3047
Securities,North Carolina,1/1/2015,215
Securities,North Dakota,1/1/2015,3
Securities,Northern Mariana Islands,1/1/2015,0
Securities,Ohio,1/1/2015,212
Securities,Oklahoma,1/1/2015,51
Securities,Oregon,1/1/2015,51
Securities,Palau,1/1/2015,0
Securities,Pennsylvania,1/1/2015,594
Securities,Puerto Rico,1/1/2015,61
Securities,Rhode Island,1/1/2015,2544
Securities,South Carolina,1/1/2015,70
Securities,South Dakota,1/1/2015,10
Securities,Tennessee,1/1/2015,93
Securities,Texas,1/1/2015,982
Securities,U.S. Virgin Islands,1/1/2015,0
Securities,Unknown/Blank,1/1/2015,75
Securities,Utah,1/1/2015,2180
Securities,Vermont,1/1/2015,16
Securities,Virginia,1/1/2015,1145
Securities,Washington,1/1/2015,438
